model,dataset,seq_len,pred_len,features,mse,mae,seed,run,timestamp_utc
TimeMixer,ETTh2,96,720,M,0.436854,0.447238,2021,0,2026-08-12T08:12:00+00:00
TimeMixer,ETTm1,96,96,M,0.319894,0.358462,2021,0,2026-08-12T08:13:08+00:00
TimeMixer,ETTm1,96,192,M,0.372362,0.391238,2021,0,2026-08-12T08:14:19+00:00
TimeMixer,ETTm1,96,336,M,0.394427,0.408316,2021,0,2026-08-12T08:15:34+00:00
TimeMixer,ETTm1,96,720,M,0.459163,0.447589,2021,0,2026-08-12T08:16:55+00:00
TimeMixer,ETTm2,96,96,M,0.174733,0.257833,2021,0,2026-08-12T08:18:04+00:00
TimeMixer,ETTm2,96,192,M,0.240933,0.301905,2021,0,2026-08-12T08:19:16+00:00
TimeMixer,ETTm2,96,336,M,0.293179,0.334673,2021,0,2026-08-12T08:20:32+00:00
TimeMixer,ETTm2,96,720,M,0.395767,0.398260,2021,0,2026-08-12T08:21:54+00:00
iTransformer,ETTh1,96,96,M,0.385864,0.403885,2021,0,2026-08-12T07:36:27+00:00
iTransformer,ETTh1,96,192,M,0.442687,0.433862,2021,0,2026-08-12T07:36:41+00:00
iTransformer,ETTh1,96,336,M,0.491732,0.463168,2021,0,2026-08-12T07:36:54+00:00
iTransformer,ETTh1,96,720,M,0.511117,0.493020,2021,0,2026-08-12T07:37:13+00:00
iTransformer,ETTh2,96,96,M,0.294102,0.345782,2021,0,2026-08-12T07:37:25+00:00
iTransformer,ETTh2,96,192,M,0.379557,0.398930,2021,0,2026-08-12T07:37:39+00:00
iTransformer,ETTh2,96,336,M,0.434143,0.435666,2021,0,2026-08-12T07:37:52+00:00
iTransformer,ETTh2,96,720,M,0.472004,0.468217,2021,0,2026-08-12T07:38:10+00:00
iTransformer,ETTm1,96,96,M,0.337759,0.369666,2021,0,2026-08-12T07:39:07+00:00
iTransformer,ETTm1,96,192,M,0.383112,0.396570,2021,0,2026-08-12T07:39:49+00:00
iTransformer,ETTm1,96,336,M,0.430659,0.424594,2021,0,2026-08-12T07:40:41+00:00
iTransformer,ETTm1,96,720,M,0.502399,0.462675,2021,0,2026-08-12T07:41:37+00:00
iTransformer,ETTm2,96,96,M,0.184390,0.266122,2021,0,2026-08-12T07:42:17+00:00
iTransformer,ETTm2,96,192,M,0.253069,0.310860,2021,0,2026-08-12T07:42:59+00:00
iTransformer,ETTm2,96,336,M,0.327306,0.361442,2021,0,2026-08-12T07:44:09+00:00
iTransformer,ETTm2,96,720,M,0.420359,0.411764,2021,0,2026-08-12T07:45:13+00:00
